"Campaign name",Day,"Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Amount spent (USD)","Link clicks",Frequency,"Reporting starts","Reporting ends"
"C | Medwriter - 2025 July 25 - Stork",2025-08-14,,"7-day click or 1-day view",,,409,450,27.24,2,1.1002445,2025-08-14,2025-08-14
"RC | Medwriter - June 25",2025-08-14,,"7-day click or 1-day view",,,148,162,18.62,,1.09459459,2025-08-14,2025-08-14
"T | Medwriter - 2025 May 25",2025-08-14,,"7-day click or 1-day view","Link clicks",10,1825,1834,4.06,10,1.00493151,2025-08-14,2025-08-14
"A | Medwriter - 2025 May 25",2025-08-14,,"7-day click or 1-day view",Reach,1180,1180,1181,2.09,1,1.00084746,2025-08-14,2025-08-14
"C | Medwriter - 2024 April",2025-08-14,,"7-day click or 1-day view",,,643,779,44.06,5,1.21150855,2025-08-14,2025-08-14
"T | Medwriter - 2025 May 25",2025-08-13,,"7-day click or 1-day view","Link clicks",5,521,530,3.5,5,1.01727447,2025-08-13,2025-08-13
"C | Medwriter - 2024 April",2025-08-13,,"7-day click or 1-day view",,,767,950,49.92,10,1.23859192,2025-08-13,2025-08-13
"A | Medwriter - 2025 May 25",2025-08-13,,"7-day click or 1-day view",Reach,6607,6607,6607,4.92,,1,2025-08-13,2025-08-13
"C | Medwriter - 2025 July 25 - Stork",2025-08-13,,"7-day click or 1-day view",presignup_demo_booked,1,381,425,31.13,5,1.11548556,2025-08-13,2025-08-13
"RC | Medwriter - June 25",2025-08-13,,"7-day click or 1-day view",,,103,111,13.35,,1.0776699,2025-08-13,2025-08-13
"C | Medwriter - 2025 July 25 - Set 14",2025-08-13,,"7-day click or 1-day view",,,728,858,29.97,6,1.17857143,2025-08-13,2025-08-13
"C | Medwriter - 2025 July 25 - Set 14",2025-08-12,,"7-day click or 1-day view",presignup_demo_booked,1,782,893,30.22,8,1.14194373,2025-08-12,2025-08-12
"C | Medwriter - 2025 July 25 - Stork",2025-08-12,,"7-day click or 1-day view",,,552,595,30.83,1,1.07789855,2025-08-12,2025-08-12
"RC | Medwriter - June 25",2025-08-12,,"7-day click or 1-day view",,,92,100,9.6,,1.08695652,2025-08-12,2025-08-12
"T | Medwriter - 2025 May 25",2025-08-12,,"7-day click or 1-day view","Link clicks",8,1541,1585,1.11,8,1.02855289,2025-08-12,2025-08-12
"A | Medwriter - 2025 May 25",2025-08-12,,"7-day click or 1-day view",Reach,1410,1410,1490,2.76,,1.05673759,2025-08-12,2025-08-12
"C | Medwriter - 2024 April",2025-08-12,,"7-day click or 1-day view",,,763,910,54.45,8,1.19266055,2025-08-12,2025-08-12
"T | Medwriter - 2025 May 25",2025-08-11,,"7-day click or 1-day view","Link clicks",5,926,926,2.82,5,1,2025-08-11,2025-08-11
"C | Medwriter - 2024 April",2025-08-11,,"7-day click or 1-day view",,,709,848,53.65,10,1.19605078,2025-08-11,2025-08-11
"A | Medwriter - 2025 May 25",2025-08-11,,"7-day click or 1-day view",Reach,1266,1266,1307,2.38,,1.03238547,2025-08-11,2025-08-11
"RC | Medwriter - June 25",2025-08-11,,"7-day click or 1-day view",,,166,174,15.92,2,1.04819277,2025-08-11,2025-08-11
"C | Medwriter - 2025 July 25 - Stork",2025-08-11,,"7-day click or 1-day view",,,556,637,33.37,3,1.14568345,2025-08-11,2025-08-11
"C | Medwriter - 2025 July 25 - Set 14",2025-08-11,,"7-day click or 1-day view",,,706,800,29.18,4,1.13314448,2025-08-11,2025-08-11
"C | Medwriter - 2025 July 25 - Set 14",2025-08-10,,"7-day click or 1-day view",presignup_demo_booked,1,603,712,36.11,5,1.18076285,2025-08-10,2025-08-10
"C | Medwriter - 2025 July 25 - Stork",2025-08-10,,"7-day click or 1-day view",,,443,496,34.62,3,1.11963883,2025-08-10,2025-08-10
"RC | Medwriter - June 25",2025-08-10,,"7-day click or 1-day view",,,157,171,19.42,1,1.08917197,2025-08-10,2025-08-10
"T | Medwriter - 2025 May 25",2025-08-10,,"7-day click or 1-day view","Link clicks",2,426,455,3.19,2,1.06807512,2025-08-10,2025-08-10
"A | Medwriter - 2025 May 25",2025-08-10,,"7-day click or 1-day view",Reach,4694,4694,4843,3.94,,1.03174265,2025-08-10,2025-08-10
"C | Medwriter - 2024 April",2025-08-10,,"7-day click or 1-day view",,,620,717,56.25,7,1.15645161,2025-08-10,2025-08-10
"T | Medwriter - 2025 May 25",2025-08-09,,"7-day click or 1-day view","Link clicks",11,749,750,3.27,11,1.00133511,2025-08-09,2025-08-09
"C | Medwriter - 2024 April",2025-08-09,,"7-day click or 1-day view",,,513,595,41.85,6,1.15984405,2025-08-09,2025-08-09
"A | Medwriter - 2025 May 25",2025-08-09,,"7-day click or 1-day view",Reach,1166,1166,1229,2.5,1,1.05403087,2025-08-09,2025-08-09
"C | Medwriter - 2025 July 25 - Set 14",2025-08-09,,"7-day click or 1-day view",presignup_demo_booked,1,522,592,26.56,8,1.13409962,2025-08-09,2025-08-09
"RC | Medwriter - June 25",2025-08-09,,"7-day click or 1-day view",,,79,83,8.77,1,1.05063291,2025-08-09,2025-08-09
"C | Medwriter - 2025 July 25 - Stork",2025-08-09,,"7-day click or 1-day view",presignup_demo_booked,1,404,462,24.84,5,1.14356436,2025-08-09,2025-08-09
"C | Medwriter - 2025 July 25 - Set 14",2025-08-08,,"7-day click or 1-day view",,,591,676,26.92,6,1.14382403,2025-08-08,2025-08-08
"C | Medwriter - 2025 July 25 - Stork",2025-08-08,,"7-day click or 1-day view",,,587,651,29.64,9,1.10902896,2025-08-08,2025-08-08
"RC | Medwriter - June 25",2025-08-08,,"7-day click or 1-day view",,,108,115,17.67,3,1.06481481,2025-08-08,2025-08-08
"T | Medwriter - 2025 May 25",2025-08-08,,"7-day click or 1-day view","Link clicks",4,139,141,0.75,4,1.01438849,2025-08-08,2025-08-08
"A | Medwriter - 2025 May 25",2025-08-08,,"7-day click or 1-day view",Reach,3717,3717,3717,3.81,1,1,2025-08-08,2025-08-08
"C | Medwriter - 2024 April",2025-08-08,,"7-day click or 1-day view",,,726,907,49.33,12,1.24931129,2025-08-08,2025-08-08
"T | Medwriter - 2025 May 25",2025-08-07,,"7-day click or 1-day view","Link clicks",9,1707,1750,3.82,9,1.02519039,2025-08-07,2025-08-07
"C | Medwriter - 2024 April",2025-08-07,,"7-day click or 1-day view",,,647,758,40.59,10,1.17156105,2025-08-07,2025-08-07
"A | Medwriter - 2025 May 25",2025-08-07,,"7-day click or 1-day view",Reach,2086,2086,2132,2.95,1,1.02205177,2025-08-07,2025-08-07
"C | Medwriter - 2025 July 25 - Set 14",2025-08-07,,"7-day click or 1-day view",presignup_demo_booked,1,445,515,23.72,6,1.15730337,2025-08-07,2025-08-07
"RC | Medwriter - June 25",2025-08-07,,"7-day click or 1-day view",,,146,154,17.07,,1.05479452,2025-08-07,2025-08-07
"C | Medwriter - 2025 July 25 - Stork",2025-08-07,,"7-day click or 1-day view",,,585,646,24.77,8,1.1042735,2025-08-07,2025-08-07
"A | Medwriter - 2025 May 25",2025-08-06,,"7-day click or 1-day view",Reach,1455,1455,1547,2.8,2,1.06323024,2025-08-06,2025-08-06
